,mean_rewards,median_rewards,min_rewards,max_rewards,steps
0,-1958.4323785,-1958.4323785,-2386.231086,-1530.633671,3840
1,-1958.4323785,-1958.4323785,-2386.231086,-1530.633671,4320
2,-1958.4323785,-1958.4323785,-2386.231086,-1530.633671,4800
3,-1958.4323785,-1958.4323785,-2386.231086,-1530.633671,5280
4,-2000.3483230000002,-2084.180212,-2386.231086,-1530.633671,5760
5,-2000.3483230000002,-2084.180212,-2386.231086,-1530.633671,6240
6,-2000.3483230000002,-2084.180212,-2386.231086,-1530.633671,6720
7,-2000.3483230000002,-2084.180212,-2386.231086,-1530.633671,7200
8,-1888.3686782500001,-1818.3049780000001,-2386.231086,-1530.633671,7680
9,-1888.3686782500001,-1818.3049780000001,-2386.231086,-1530.633671,8160
10,-1888.3686782500001,-1818.3049780000001,-2386.231086,-1530.633671,8640
11,-1888.3686782500001,-1818.3049780000001,-2386.231086,-1530.633671,9120
12,-1784.2474644000001,-1552.429744,-2386.231086,-1367.762609,9600
13,-1784.2474644000001,-1552.429744,-2386.231086,-1367.762609,10080
14,-1784.2474644000001,-1552.429744,-2386.231086,-1367.762609,10560
15,-1784.2474644000001,-1552.429744,-2386.231086,-1367.762609,11040
16,-1741.4493753333336,-1541.5317075,-2386.231086,-1367.762609,11520
17,-1741.4493753333336,-1541.5317075,-2386.231086,-1367.762609,12000
18,-1741.4493753333336,-1541.5317075,-2386.231086,-1367.762609,12480
19,-1741.4493753333336,-1541.5317075,-2386.231086,-1367.762609,12960
20,-1698.2810914285715,-1530.633671,-2386.231086,-1367.762609,13440
21,-1698.2810914285715,-1530.633671,-2386.231086,-1367.762609,13920
22,-1698.2810914285715,-1530.633671,-2386.231086,-1367.762609,14400
23,-1698.2810914285715,-1530.633671,-2386.231086,-1367.762609,14880
24,-1689.309286125,-1541.5317075,-2386.231086,-1367.762609,15360
25,-1689.309286125,-1541.5317075,-2386.231086,-1367.762609,15840
26,-1689.309286125,-1541.5317075,-2386.231086,-1367.762609,16320
27,-1689.309286125,-1541.5317075,-2386.231086,-1367.762609,16800
28,-1659.9924347777778,-1530.633671,-2386.231086,-1367.762609,17280
29,-1659.9924347777778,-1530.633671,-2386.231086,-1367.762609,17760
30,-1659.9924347777778,-1530.633671,-2386.231086,-1367.762609,18240
31,-1659.9924347777778,-1530.633671,-2386.231086,-1367.762609,18720
32,-1673.1106079,-1541.5317075,-2386.231086,-1367.762609,19200
33,-1673.1106079,-1541.5317075,-2386.231086,-1367.762609,19680
34,-1673.1106079,-1541.5317075,-2386.231086,-1367.762609,20160
35,-1673.1106079,-1541.5317075,-2386.231086,-1367.762609,20640
36,-1585.2192014000002,-1529.0463005000001,-2084.180212,-1367.762609,21120
37,-1585.2192014000002,-1529.0463005000001,-2084.180212,-1367.762609,21600
38,-1585.2192014000002,-1529.0463005000001,-2084.180212,-1367.762609,22080
39,-1585.2192014000002,-1529.0463005000001,-2084.180212,-1367.762609,22560
40,-1579.0083024,-1517.3879755,-2084.180212,-1367.762609,23040
41,-1579.0083024,-1517.3879755,-2084.180212,-1367.762609,23520
42,-1579.0083024,-1517.3879755,-2084.180212,-1367.762609,24000
43,-1579.0083024,-1517.3879755,-2084.180212,-1367.762609,24480
44,-1517.2524997,-1487.920851,-1791.174166,-1367.762609,24960
45,-1517.2524997,-1487.920851,-1791.174166,-1367.762609,25440
46,-1517.2524997,-1487.920851,-1791.174166,-1367.762609,25920
47,-1517.2524997,-1487.920851,-1791.174166,-1367.762609,26400
48,-1503.7481032,-1467.573433,-1791.174166,-1367.762609,26880
49,-1503.7481032,-1467.573433,-1791.174166,-1367.762609,27360
50,-1503.7481032,-1467.573433,-1791.174166,-1367.762609,27840
51,-1503.7481032,-1467.573433,-1791.174166,-1367.762609,28320
52,-1510.9598397,-1467.573433,-1791.174166,-1417.385779,28800
53,-1510.9598397,-1467.573433,-1791.174166,-1417.385779,29280
54,-1510.9598397,-1467.573433,-1791.174166,-1417.385779,29760
55,-1510.9598397,-1467.573433,-1791.174166,-1417.385779,30240
56,-1511.726827,-1467.573433,-1791.174166,-1417.385779,30720
57,-1511.726827,-1467.573433,-1791.174166,-1417.385779,31200
58,-1511.726827,-1467.573433,-1791.174166,-1417.385779,31680
59,-1511.726827,-1467.573433,-1791.174166,-1417.385779,32160
60,-1501.9874315,-1467.573433,-1791.174166,-1341.877433,32640
61,-1501.9874315,-1467.573433,-1791.174166,-1341.877433,33120
62,-1501.9874315,-1467.573433,-1791.174166,-1341.877433,33600
63,-1501.9874315,-1467.573433,-1791.174166,-1341.877433,34080
64,-1484.6513092,-1459.8838055,-1791.174166,-1341.877433,34560
65,-1484.6513092,-1459.8838055,-1791.174166,-1341.877433,35040
66,-1484.6513092,-1459.8838055,-1791.174166,-1341.877433,35520
67,-1484.6513092,-1459.8838055,-1791.174166,-1341.877433,36000
68,-1486.6555433999997,-1459.8838055,-1791.174166,-1341.877433,36480
69,-1486.6555433999997,-1459.8838055,-1791.174166,-1341.877433,36960
70,-1486.6555433999997,-1459.8838055,-1791.174166,-1341.877433,37440
71,-1486.6555433999997,-1459.8838055,-1791.174166,-1341.877433,37920
72,-1449.7607931999999,-1449.3226960000002,-1535.128803,-1341.877433,38400
73,-1449.7607931999999,-1449.3226960000002,-1535.128803,-1341.877433,38880
74,-1449.7607931999999,-1449.3226960000002,-1535.128803,-1341.877433,39360
75,-1449.7607931999999,-1449.3226960000002,-1535.128803,-1341.877433,39840
76,-1430.4585215,-1442.68997,-1535.128803,-1314.294304,40320
77,-1430.4585215,-1442.68997,-1535.128803,-1314.294304,40800
78,-1430.4585215,-1442.68997,-1535.128803,-1314.294304,41280
79,-1430.4585215,-1442.68997,-1535.128803,-1314.294304,41760
80,-1416.3049686,-1431.053319,-1535.128803,-1314.294304,42240
81,-1416.3049686,-1431.053319,-1535.128803,-1314.294304,42720
82,-1416.3049686,-1431.053319,-1535.128803,-1314.294304,43200
83,-1416.3049686,-1431.053319,-1535.128803,-1314.294304,43680
84,-1422.6171495,-1431.053319,-1535.128803,-1314.294304,44160
85,-1422.6171495,-1431.053319,-1535.128803,-1314.294304,44640
86,-1422.6171495,-1431.053319,-1535.128803,-1314.294304,45120
87,-1422.6171495,-1431.053319,-1535.128803,-1314.294304,45600
88,-1432.8967653,-1442.68997,-1535.128803,-1314.294304,46080
89,-1432.8967653,-1442.68997,-1535.128803,-1314.294304,46560
90,-1432.8967653,-1442.68997,-1535.128803,-1314.294304,47040
91,-1432.8967653,-1442.68997,-1535.128803,-1314.294304,47520
92,-1430.0154416999999,-1433.863315,-1535.128803,-1314.294304,48000
93,-1430.0154416999999,-1433.863315,-1535.128803,-1314.294304,48480
94,-1430.0154416999999,-1433.863315,-1535.128803,-1314.294304,48960
95,-1430.0154416999999,-1433.863315,-1535.128803,-1314.294304,49440
96,-1432.8424585,-1433.863315,-1563.398971,-1314.294304,49920
97,-1432.8424585,-1433.863315,-1563.398971,-1314.294304,50400
98,-1432.8424585,-1433.863315,-1563.398971,-1314.294304,50880
99,-1432.8424585,-1433.863315,-1563.398971,-1314.294304,51360
100,-1449.6481388,-1449.3226960000002,-1563.398971,-1314.294304,51840
101,-1449.6481388,-1449.3226960000002,-1563.398971,-1314.294304,52320
102,-1449.6481388,-1449.3226960000002,-1563.398971,-1314.294304,52800
103,-1449.6481388,-1449.3226960000002,-1563.398971,-1314.294304,53280
104,-1438.8957955,-1433.863315,-1563.398971,-1314.294304,53760
105,-1438.8957955,-1433.863315,-1563.398971,-1314.294304,54240
106,-1438.8957955,-1433.863315,-1563.398971,-1314.294304,54720
107,-1438.8957955,-1433.863315,-1563.398971,-1314.294304,55200
108,-1419.9039392,-1416.6467010000001,-1563.398971,-1255.581403,55680
109,-1419.9039392,-1416.6467010000001,-1563.398971,-1255.581403,56160
110,-1419.9039392,-1416.6467010000001,-1563.398971,-1255.581403,56640
111,-1419.9039392,-1416.6467010000001,-1563.398971,-1255.581403,57120
112,-1410.1901489,-1378.3443655,-1563.398971,-1255.581403,57600
113,-1410.1901489,-1378.3443655,-1563.398971,-1255.581403,58080
114,-1410.1901489,-1378.3443655,-1563.398971,-1255.581403,58560
115,-1410.1901489,-1378.3443655,-1563.398971,-1255.581403,59040
116,-1409.4273874,-1378.3443655,-1563.398971,-1255.581403,59520
117,-1409.4273874,-1378.3443655,-1563.398971,-1255.581403,60000
118,-1409.4273874,-1378.3443655,-1563.398971,-1255.581403,60480
119,-1409.4273874,-1378.3443655,-1563.398971,-1255.581403,60960
120,-1393.1921423999997,-1378.3443655,-1563.398971,-1164.636702,61440
121,-1393.1921423999997,-1378.3443655,-1563.398971,-1164.636702,61920
122,-1393.1921423999997,-1378.3443655,-1563.398971,-1164.636702,62400
123,-1393.1921423999997,-1378.3443655,-1563.398971,-1164.636702,62880
124,-1366.3517211,-1335.3553769999999,-1563.398971,-1164.636702,63360
125,-1366.3517211,-1335.3553769999999,-1563.398971,-1164.636702,63840
126,-1366.3517211,-1335.3553769999999,-1563.398971,-1164.636702,64320
127,-1366.3517211,-1335.3553769999999,-1563.398971,-1164.636702,64800
128,-1326.0464588,-1315.8777249999998,-1563.398971,-1117.129314,65280
129,-1326.0464588,-1315.8777249999998,-1563.398971,-1117.129314,65760
130,-1326.0464588,-1315.8777249999998,-1563.398971,-1117.129314,66240
131,-1326.0464588,-1315.8777249999998,-1563.398971,-1117.129314,66720
132,-1296.5350639,-1284.003235,-1563.398971,-1115.952789,67200
133,-1296.5350639,-1284.003235,-1563.398971,-1115.952789,67680
