,mean_rewards,median_rewards,min_rewards,max_rewards,steps
0,-1095.0802355,-1095.0802355,-1386.729643,-803.430828,3840
1,-1095.0802355,-1095.0802355,-1386.729643,-803.430828,4320
2,-1095.0802355,-1095.0802355,-1386.729643,-803.430828,4800
3,-1095.0802355,-1095.0802355,-1386.729643,-803.430828,5280
4,-1061.328319,-993.824486,-1386.729643,-803.430828,5760
5,-1061.328319,-993.824486,-1386.729643,-803.430828,6240
6,-1061.328319,-993.824486,-1386.729643,-803.430828,6720
7,-1061.328319,-993.824486,-1386.729643,-803.430828,7200
8,-1012.4923747500001,-929.9045140000001,-1386.729643,-803.430828,7680
9,-1012.4923747500001,-929.9045140000001,-1386.729643,-803.430828,8160
10,-1012.4923747500001,-929.9045140000001,-1386.729643,-803.430828,8640
11,-1012.4923747500001,-929.9045140000001,-1386.729643,-803.430828,9120
12,-956.814789,-865.984542,-1386.729643,-734.104446,9600
13,-956.814789,-865.984542,-1386.729643,-734.104446,10080
14,-956.814789,-865.984542,-1386.729643,-734.104446,10560
15,-956.814789,-865.984542,-1386.729643,-734.104446,11040
16,-951.1324771666667,-894.3527300000001,-1386.729643,-734.104446,11520
17,-951.1324771666667,-894.3527300000001,-1386.729643,-734.104446,12000
18,-951.1324771666667,-894.3527300000001,-1386.729643,-734.104446,12480
19,-951.1324771666667,-894.3527300000001,-1386.729643,-734.104446,12960
20,-933.3645560000001,-865.984542,-1386.729643,-734.104446,13440
21,-933.3645560000001,-865.984542,-1386.729643,-734.104446,13920
22,-933.3645560000001,-865.984542,-1386.729643,-734.104446,14400
23,-933.3645560000001,-865.984542,-1386.729643,-734.104446,14880
24,-929.6410853750001,-884.7806665,-1386.729643,-734.104446,15360
25,-929.6410853750001,-884.7806665,-1386.729643,-734.104446,15840
26,-929.6410853750001,-884.7806665,-1386.729643,-734.104446,16320
27,-929.6410853750001,-884.7806665,-1386.729643,-734.104446,16800
28,-929.7293366666668,-903.576791,-1386.729643,-734.104446,17280
29,-929.7293366666668,-903.576791,-1386.729643,-734.104446,17760
30,-929.7293366666668,-903.576791,-1386.729643,-734.104446,18240
31,-929.7293366666668,-903.576791,-1386.729643,-734.104446,18720
32,-941.6324014000002,-913.1488545,-1386.729643,-734.104446,19200
33,-941.6324014000002,-913.1488545,-1386.729643,-734.104446,19680
34,-941.6324014000002,-913.1488545,-1386.729643,-734.104446,20160
35,-941.6324014000002,-913.1488545,-1386.729643,-734.104446,20640
36,-888.4141569,-884.7806665,-1048.759984,-734.104446,21120
37,-888.4141569,-884.7806665,-1048.759984,-734.104446,21600
38,-888.4141569,-884.7806665,-1048.759984,-734.104446,22080
39,-888.4141569,-884.7806665,-1048.759984,-734.104446,22560
40,-899.5640715,-909.2533825,-1048.759984,-734.104446,23040
41,-899.5640715,-909.2533825,-1048.759984,-734.104446,23520
42,-899.5640715,-909.2533825,-1048.759984,-734.104446,24000
43,-899.5640715,-909.2533825,-1048.759984,-734.104446,24480
44,-901.9639045,-909.2533825,-1048.759984,-734.104446,24960
45,-901.9639045,-909.2533825,-1048.759984,-734.104446,25440
46,-901.9639045,-909.2533825,-1048.759984,-734.104446,25920
47,-901.9639045,-909.2533825,-1048.759984,-734.104446,26400
48,-932.2770011999999,-918.825446,-1169.115509,-734.104446,26880
49,-932.2770011999999,-918.825446,-1169.115509,-734.104446,27360
50,-932.2770011999999,-918.825446,-1169.115509,-734.104446,27840
51,-932.2770011999999,-918.825446,-1169.115509,-734.104446,28320
52,-935.4670024,-918.825446,-1169.115509,-766.004458,28800
53,-935.4670024,-918.825446,-1169.115509,-766.004458,29280
54,-935.4670024,-918.825446,-1169.115509,-766.004458,29760
55,-935.4670024,-918.825446,-1169.115509,-766.004458,30240
56,-937.1221135,-922.6826605,-1169.115509,-766.004458,30720
57,-937.1221135,-922.6826605,-1169.115509,-766.004458,31200
58,-937.1221135,-922.6826605,-1169.115509,-766.004458,31680
59,-937.1221135,-922.6826605,-1169.115509,-766.004458,32160
60,-929.6719529,-922.6826605,-1169.115509,-752.255423,32640
61,-929.6719529,-922.6826605,-1169.115509,-752.255423,33120
62,-929.6719529,-922.6826605,-1169.115509,-752.255423,33600
63,-929.6719529,-922.6826605,-1169.115509,-752.255423,34080
64,-914.4007146,-922.6826605,-1169.115509,-750.864408,34560
65,-914.4007146,-922.6826605,-1169.115509,-750.864408,35040
66,-914.4007146,-922.6826605,-1169.115509,-750.864408,35520
67,-914.4007146,-922.6826605,-1169.115509,-750.864408,36000
68,-896.3152620999999,-884.7385859999999,-1169.115509,-749.580822,36480
69,-896.3152620999999,-884.7385859999999,-1169.115509,-749.580822,36960
70,-896.3152620999999,-884.7385859999999,-1169.115509,-749.580822,37440
71,-896.3152620999999,-884.7385859999999,-1169.115509,-749.580822,37920
72,-855.5440824,-810.275828,-1169.115509,-641.048187,38400
73,-855.5440824,-810.275828,-1169.115509,-641.048187,38880
74,-855.5440824,-810.275828,-1169.115509,-641.048187,39360
75,-855.5440824,-810.275828,-1169.115509,-641.048187,39840
76,-835.7598651000001,-759.1299405,-1169.115509,-641.048187,40320
77,-835.7598651000001,-759.1299405,-1169.115509,-641.048187,40800
78,-835.7598651000001,-759.1299405,-1169.115509,-641.048187,41280
79,-835.7598651000001,-759.1299405,-1169.115509,-641.048187,41760
80,-806.1857243000001,-751.5599155,-1169.115509,-619.188566,42240
81,-806.1857243000001,-751.5599155,-1169.115509,-619.188566,42720
82,-806.1857243000001,-751.5599155,-1169.115509,-619.188566,43200
83,-806.1857243000001,-751.5599155,-1169.115509,-619.188566,43680
84,-774.1905304,-750.222615,-1169.115509,-619.188566,44160
85,-774.1905304,-750.222615,-1169.115509,-619.188566,44640
86,-774.1905304,-750.222615,-1169.115509,-619.188566,45120
87,-774.1905304,-750.222615,-1169.115509,-619.188566,45600
88,-723.288035,-723.7258495,-939.272029,-619.188566,46080
89,-723.288035,-723.7258495,-939.272029,-619.188566,46560
90,-723.288035,-723.7258495,-939.272029,-619.188566,47040
91,-723.288035,-723.7258495,-939.272029,-619.188566,47520
92,-710.1255285,-678.980716,-939.272029,-619.188566,48000
93,-710.1255285,-678.980716,-939.272029,-619.188566,48480
94,-710.1255285,-678.980716,-939.272029,-619.188566,48960
95,-710.1255285,-678.980716,-939.272029,-619.188566,49440
96,-678.0419319,-658.39779,-752.255423,-618.436063,49920
97,-678.0419319,-658.39779,-752.255423,-618.436063,50400
98,-678.0419319,-658.39779,-752.255423,-618.436063,50880
99,-678.0419319,-658.39779,-752.255423,-618.436063,51360
100,-654.9825691,-648.876606,-750.864408,-521.661795,51840
101,-654.9825691,-648.876606,-750.864408,-521.661795,52320
102,-654.9825691,-648.876606,-750.864408,-521.661795,52800
103,-654.9825691,-648.876606,-750.864408,-521.661795,53280
104,-630.5351064,-637.71379,-749.580822,-506.389781,53760
105,-630.5351064,-637.71379,-749.580822,-506.389781,54240
106,-630.5351064,-637.71379,-749.580822,-506.389781,54720
107,-630.5351064,-637.71379,-749.580822,-506.389781,55200
108,-606.2728754000001,-626.7839795,-697.870877,-506.389781,55680
109,-606.2728754000001,-626.7839795,-697.870877,-506.389781,56160
110,-606.2728754000001,-626.7839795,-697.870877,-506.389781,56640
111,-606.2728754000001,-626.7839795,-697.870877,-506.389781,57120
112,-589.0251428,-618.8123145,-697.870877,-468.570861,57600
113,-589.0251428,-618.8123145,-697.870877,-468.570861,58080
114,-589.0251428,-618.8123145,-697.870877,-468.570861,58560
115,-589.0251428,-618.8123145,-697.870877,-468.570861,59040
116,-565.8631525000001,-570.048929,-697.870877,-425.085122,59520
117,-565.8631525000001,-570.048929,-697.870877,-425.085122,60000
118,-565.8631525000001,-570.048929,-697.870877,-425.085122,60480
119,-565.8631525000001,-570.048929,-697.870877,-425.085122,60960
120,-543.9311282000001,-514.3101535,-697.870877,-399.868323,61440
121,-543.9311282000001,-514.3101535,-697.870877,-399.868323,61920
122,-543.9311282000001,-514.3101535,-697.870877,-399.868323,62400
123,-543.9311282000001,-514.3101535,-697.870877,-399.868323,62880
124,-510.845493,-506.6741465,-660.090555,-367.014525,63360
125,-510.845493,-506.6741465,-660.090555,-367.014525,63840
126,-510.845493,-506.6741465,-660.090555,-367.014525,64320
127,-510.845493,-506.6741465,-660.090555,-367.014525,64800
128,-480.0188131,-487.480321,-634.379393,-351.823756,65280
129,-480.0188131,-487.480321,-634.379393,-351.823756,65760
130,-480.0188131,-487.480321,-634.379393,-351.823756,66240
131,-480.0188131,-487.480321,-634.379393,-351.823756,66720
132,-448.1706931,-446.8279915,-618.436063,-315.898193,67200
133,-448.1706931,-446.8279915,-618.436063,-315.898193,67680
134,-448.1706931,-446.8279915,-618.436063,-315.898193,68160
135,-448.1706931,-446.8279915,-618.436063,-315.898193,68640
136,-415.8395883,-412.4767225,-521.661795,-295.125015,69120
137,-415.8395883,-412.4767225,-521.661795,-295.125015,69600
138,-415.8395883,-412.4767225,-521.661795,-295.125015,70080
139,-415.8395883,-412.4767225,-521.661795,-295.125015,70560
140,-390.86907370000006,-383.441424,-506.958512,-271.956649,71040
141,-390.86907370000006,-383.441424,-506.958512,-271.956649,71520
142,-390.86907370000006,-383.441424,-506.958512,-271.956649,72000
143,-390.86907370000006,-383.441424,-506.958512,-271.956649,72480
144,-365.3317898000001,-359.4191405,-506.958512,-251.016942,72960
145,-365.3317898000001,-359.4191405,-506.958512,-251.016942,73440
146,-365.3317898000001,-359.4191405,-506.958512,-251.016942,73920
147,-365.3317898000001,-359.4191405,-506.958512,-251.016942,74400
148,-338.53449820000003,-333.8609745,-468.570861,-238.985596,74880
149,-338.53449820000003,-333.8609745,-468.570861,-238.985596,75360
150,-338.53449820000003,-333.8609745,-468.570861,-238.985596,75840
151,-338.53449820000003,-333.8609745,-468.570861,-238.985596,76320
152,-314.3223663,-305.51160400000003,-425.085122,-226.449542,76800
153,-314.3223663,-305.51160400000003,-425.085122,-226.449542,77280
154,-314.3223663,-305.51160400000003,-425.085122,-226.449542,77760
155,-314.3223663,-305.51160400000003,-425.085122,-226.449542,78240
156,-294.1784206,-283.540832,-399.868323,-223.645665,78720
157,-294.1784206,-283.540832,-399.868323,-223.645665,79200
158,-294.1784206,-283.540832,-399.868323,-223.645665,79680
159,-294.1784206,-283.540832,-399.868323,-223.645665,80160
160,-274.7222135,-261.4867955,-367.014525,-205.306252,80640
161,-274.7222135,-261.4867955,-367.014525,-205.306252,81120
162,-274.7222135,-261.4867955,-367.014525,-205.306252,81600
163,-274.7222135,-261.4867955,-367.014525,-205.306252,82080
164,-258.3750543,-245.00126899999998,-351.823756,-203.542933,82560
165,-258.3750543,-245.00126899999998,-351.823756,-203.542933,83040
166,-258.3750543,-245.00126899999998,-351.823756,-203.542933,83520
167,-258.3750543,-245.00126899999998,-351.823756,-203.542933,84000
168,-243.4644553,-232.717569,-315.898193,-202.717766,84480
169,-243.4644553,-232.717569,-315.898193,-202.717766,84960
170,-243.4644553,-232.717569,-315.898193,-202.717766,85440
171,-243.4644553,-232.717569,-315.898193,-202.717766,85920
172,-231.78630619999998,-225.0476035,-295.125015,-199.116702,86400
173,-231.78630619999998,-225.0476035,-295.125015,-199.116702,86880
174,-231.78630619999998,-225.0476035,-295.125015,-199.116702,87360
175,-231.78630619999998,-225.0476035,-295.125015,-199.116702,87840
176,-221.1314753,-214.4759585,-271.956649,-188.576706,88320
177,-221.1314753,-214.4759585,-271.956649,-188.576706,88800
178,-221.1314753,-214.4759585,-271.956649,-188.576706,89280
179,-221.1314753,-214.4759585,-271.956649,-188.576706,89760
180,-212.9158739,-204.42459250000002,-251.016942,-188.576706,90240
181,-212.9158739,-204.42459250000002,-251.016942,-188.576706,90720
182,-212.9158739,-204.42459250000002,-251.016942,-188.576706,91200
183,-212.9158739,-204.42459250000002,-251.016942,-188.576706,91680
184,-207.2185419,-203.13034950000002,-238.985596,-188.576706,92160
185,-207.2185419,-203.13034950000002,-238.985596,-188.576706,92640
186,-207.2185419,-203.13034950000002,-238.985596,-188.576706,93120
187,-207.2185419,-203.13034950000002,-238.985596,-188.576706,93600
