,mean_rewards,median_rewards,min_rewards,max_rewards,steps
0,-2059.021146,-2059.021146,-2519.693043,-1598.349249,6240
1,-2059.021146,-2059.021146,-2519.693043,-1598.349249,6720
2,-2059.021146,-2059.021146,-2519.693043,-1598.349249,7200
3,-2059.021146,-2059.021146,-2519.693043,-1598.349249,7680
4,-2059.021146,-2059.021146,-2519.693043,-1598.349249,8160
5,-2059.021146,-2059.021146,-2519.693043,-1598.349249,8640
6,-1886.7768206666667,-1598.349249,-2519.693043,-1542.28817,9120
7,-1886.7768206666667,-1598.349249,-2519.693043,-1542.28817,9600
8,-1886.7768206666667,-1598.349249,-2519.693043,-1542.28817,10080
9,-1886.7768206666667,-1598.349249,-2519.693043,-1542.28817,10560
10,-1886.7768206666667,-1598.349249,-2519.693043,-1542.28817,11040
11,-1886.7768206666667,-1598.349249,-2519.693043,-1542.28817,11520
12,-1886.7768206666667,-1598.349249,-2519.693043,-1542.28817,12000
13,-1830.2478274999999,-1629.5050485000002,-2519.693043,-1542.28817,12480
14,-1830.2478274999999,-1629.5050485000002,-2519.693043,-1542.28817,12960
15,-1830.2478274999999,-1629.5050485000002,-2519.693043,-1542.28817,13440
16,-1830.2478274999999,-1629.5050485000002,-2519.693043,-1542.28817,13920
17,-1830.2478274999999,-1629.5050485000002,-2519.693043,-1542.28817,14400
18,-1830.2478274999999,-1629.5050485000002,-2519.693043,-1542.28817,14880
19,-1784.172398,-1599.87068,-2519.693043,-1542.28817,15360
20,-1784.172398,-1599.87068,-2519.693043,-1542.28817,15840
21,-1784.172398,-1599.87068,-2519.693043,-1542.28817,16320
22,-1784.172398,-1599.87068,-2519.693043,-1542.28817,16800
23,-1784.172398,-1599.87068,-2519.693043,-1542.28817,17280
24,-1784.172398,-1599.87068,-2519.693043,-1542.28817,17760
25,-1759.1911491666667,-1617.0777925,-2519.693043,-1542.28817,18240
26,-1759.1911491666667,-1617.0777925,-2519.693043,-1542.28817,18720
27,-1759.1911491666667,-1617.0777925,-2519.693043,-1542.28817,19200
28,-1759.1911491666667,-1617.0777925,-2519.693043,-1542.28817,19680
29,-1759.1911491666667,-1617.0777925,-2519.693043,-1542.28817,20160
30,-1759.1911491666667,-1617.0777925,-2519.693043,-1542.28817,20640
31,-1736.0569224285714,-1599.87068,-2519.693043,-1542.28817,21120
32,-1736.0569224285714,-1599.87068,-2519.693043,-1542.28817,21600
33,-1736.0569224285714,-1599.87068,-2519.693043,-1542.28817,22080
34,-1736.0569224285714,-1599.87068,-2519.693043,-1542.28817,22560
35,-1736.0569224285714,-1599.87068,-2519.693043,-1542.28817,23040
36,-1736.0569224285714,-1599.87068,-2519.693043,-1542.28817,23520
37,-1736.0569224285714,-1599.87068,-2519.693043,-1542.28817,24000
38,-1721.80560575,-1610.9585345,-2519.693043,-1542.28817,24480
